ticker,rows,start,end,shares_rows,shares_start,shares_end,shares_status,shares_missing,turnover_missing,status
BAC$M,0,,,0,,,empty_ohlc,,,empty
BAC$N,0,,,0,,,empty_ohlc,,,empty
BAC$O,0,,,0,,,empty_ohlc,,,empty
BAC$P,0,,,0,,,empty_ohlc,,,empty
BAC$Q,0,,,0,,,empty_ohlc,,,empty
BAC$S,0,,,0,,,empty_ohlc,,,empty
BAH,3050,2010-11-18,2022-12-30,213,2015-10-28,2022-11-02,ok,1243.0,1243.0,ok
BAK,5787,2000-01-03,2022-12-30,739,2017-05-02,2022-12-31,ok,4359.0,4359.0,ok
BALL,5787,2000-01-03,2022-12-30,15,2022-05-10,2022-11-09,ok,5624.0,5624.0,ok
BALY,0,,,0,,,empty_ohlc,,,empty
BAM,21,2022-12-01,2022-12-30,1027,2017-04-29,2022-12-30,ok,0.0,0.0,ok
BANC,5125,2002-08-23,2022-12-30,248,2015-11-06,2022-12-09,ok,3325.0,3325.0,ok
BANC$F,0,,,0,,,empty_ohlc,,,empty
BAP,5787,2000-01-03,2022-12-30,198,2015-05-14,2022-12-08,ok,3864.0,3864.0,ok
BARK,512,2020-12-18,2022-12-30,40,2021-06-08,2022-12-08,ok,116.0,116.0,ok
BAX,5787,2000-01-03,2022-12-30,193,2015-11-09,2022-11-05,ok,3988.0,3988.0,ok
BB,5787,2000-01-03,2022-12-30,927,2017-10-24,2022-12-30,ok,4481.0,4481.0,ok
BBAI,441,2021-04-05,2022-12-30,39,2021-12-10,2022-11-16,ok,175.0,175.0,ok
BBAI-W,0,,,0,,,empty_ohlc,,,empty
BBAR,5787,2000-01-03,2022-12-30,149,2019-06-19,2022-12-14,ok,4895.0,4895.0,ok
BBBY,5185,2002-05-30,2022-12-30,210,2015-10-07,2023-01-01,ok,3363.0,3363.0,ok
BBBY-W,0,,,0,,,empty_ohlc,,,empty
BBD,5140,2002-08-02,2022-12-30,798,2017-05-01,2022-11-12,ok,3711.0,3711.0,ok
BBDC,3994,2007-02-22,2022-12-30,202,2017-08-03,2022-11-25,ok,2631.0,2631.0,ok
BBDO,2720,2012-03-13,2022-12-30,1110,2017-04-29,2022-12-31,ok,1291.0,1291.0,ok
BBN,3107,2010-08-30,2022-12-30,89,2019-06-27,2022-11-25,ok,2221.0,2221.0,ok
BBT,5664,2000-06-28,2022-12-30,138,2015-10-30,2019-12-11,ok,3859.0,3859.0,ok
BBU,1659,2016-06-01,2022-12-30,1040,2017-04-29,2022-12-29,ok,230.0,230.0,ok
BBUC,208,2022-03-07,2022-12-30,110,2022-03-17,2022-12-30,ok,8.0,8.0,ok
BBVA,5787,2000-01-03,2022-12-30,1038,2017-04-29,2023-01-01,ok,4358.0,4358.0,ok
BBW,4576,2004-10-28,2022-12-30,214,2015-11-24,2022-12-13,ok,2788.0,2788.0,ok
BBWI,5787,2000-01-03,2022-12-30,57,2021-08-04,2022-12-05,ok,5431.0,5431.0,ok
BBY,5787,2000-01-03,2022-12-30,216,2015-12-04,2022-12-08,ok,4006.0,4006.0,ok
BC,5787,2000-01-03,2022-12-30,205,2015-11-05,2022-11-13,ok,3986.0,3986.0,ok
BC$C,0,,,0,,,empty_ohlc,,,empty
BCAT,571,2020-09-25,2022-12-30,47,2020-10-01,2022-11-10,ok,4.0,4.0,ok
